Ticker,Security,Sector,Score
WY,Weyerhaeuser,Real Estate,262.12
FITB,Fifth Third Bancorp,Financials,261.93
RHI,Robert Half International,Industrials,261.56
HCA,HCA Healthcare,Health Care,259.57
XYL,Xylem Inc.,Industrials,259.56
TSCO,Tractor Supply Company,Consumer Discretionary,258.98
NEE,NextEra Energy,Utilities,258.67
CTAS,Cintas Corporation,Industrials,258.0
COST,Costco Wholesale Corp.,Consumer Staples,257.84
ROK,Rockwell Automation Inc.,Industrials,257.46
MSFT,Microsoft Corp.,Information Technology,257.01
RF,Regions Financial Corp.,Financials,256.96
CFG,Citizens Financial Group,Financials,254.77
FAST,Fastenal Co,Industrials,254.66
KEYS,Keysight Technologies,Information Technology,253.74
LKQ,LKQ Corporation,Consumer Discretionary,253.01
INFO,IHS Markit Ltd.,Industrials,252.8
LEN,Lennar Corp.,Consumer Discretionary,252.29
WMT,Walmart,Consumer Staples,251.91
ADBE,Adobe Inc.,Information Technology,251.56
VMC,Vulcan Materials,Materials,250.82
LIN,Linde plc,Materials,250.25
UA,Under Armour (Class C),Consumer Discretionary,248.38
MU,Micron Technology,Information Technology,245.39
LYV,Live Nation Entertainment,Communication Services,244.49
CHTR,Charter Communications,Communication Services,243.99
FB,Facebook Inc.,Communication Services,243.67
FTV,Fortive Corp,Industrials,243.2
OTIS,Otis Worldwide,Industrials,243.09
GS,Goldman Sachs Group,Financials,242.96
IQV,IQVIA Holdings Inc.,Health Care,242.91
CRM,Salesforce.com,Information Technology,242.07
ORCL,Oracle Corp.,Information Technology,240.62
ITW,Illinois Tool Works,Industrials,239.99
BWA,BorgWarner,Consumer Discretionary,239.78
SYK,Stryker Corp.,Health Care,239.57
NTAP,NetApp,Information Technology,239.42
CMA,Comerica Inc.,Financials,238.88
AJG,Arthur J. Gallagher & Co.,Financials,238.46
BKNG,Booking Holdings Inc,Consumer Discretionary,238.3
NFLX,Netflix Inc.,Communication Services,237.6
HBI,Hanesbrands Inc,Consumer Discretionary,236.72
TXT,Textron Inc.,Industrials,236.65
DOV,Dover Corporation,Industrials,235.92
AWK,American Water Works Company Inc,Utilities,235.69
MMM,3M Company,Industrials,235.51
WAT,Waters Corporation,Health Care,234.91
VRSK,Verisk Analytics,Industrials,234.03
ICE,Intercontinental Exchange,Financials,232.99
IT,Gartner Inc,Information Technology,232.56
ANET,Arista Networks,Information Technology,232.21
PAYX,Paychex Inc.,Information Technology,229.61
UNH,United Health Group Inc.,Health Care,229.1
ZTS,Zoetis,Health Care,226.68
STE,STERIS plc,Health Care,225.94
SCHW,Charles Schwab Corporation,Financials,225.78
DLTR,Dollar Tree,Consumer Discretionary,225.4
HAL,Halliburton Co.,Energy,225.38
HPQ,HP Inc.,Information Technology,225.01
HAS,Hasbro Inc.,Consumer Discretionary,223.37
VFC,VF Corporation,Consumer Discretionary,222.15
STZ,Constellation Brands,Consumer Staples,221.81
AMCR,Amcor plc,Materials,221.7
MET,MetLife Inc.,Financials,221.38
RJF,Raymond James Financial Inc.,Financials,221.26
CL,Colgate-Palmolive,Consumer Staples,220.2
LH,Laboratory Corp. of America Holding,Health Care,219.73
PGR,Progressive Corp.,Financials,219.71
NDAQ,Nasdaq Inc.,Financials,219.67
DG,Dollar General,Consumer Discretionary,218.9
CHRW,C. H. Robinson Worldwide,Industrials,218.59
COF,Capital One Financial,Financials,218.49
CDW,CDW,Information Technology,217.19
